,authorID,domain,pubID,venueID,numAuthor,venue,year,type,university
0,hassan-al-haj,cmu.edu,C10-1002,C10-1,2,COLING,2010,conference,Carnegie Mellon University
0,hassan-al-haj,cmu.edu,W10-0711,W10-07,3,WS,2010,workshop,Carnegie Mellon University
1,carmen-banea,unt.edu,C10-1004,C10-1,3,COLING,2010,conference,University of North Texas
1,carmen-banea,umich.edu,D17-1242,D17-1,3,EMNLP,2017,conference,University of Michigan
1,carmen-banea,umich.edu,P19-1339,P19-1,4,ACL,2019,conference,University of Michigan
1,carmen-banea,unt.edu,S12-1003,S12-1,3,SEMEVAL,2012,workshop,University of North Texas
1,carmen-banea,umich.edu,S14-2098,S14-2,5,SEMEVAL,2014,workshop,University of Michigan
1,carmen-banea,unt.edu,W11-3707,W11-37,3,WS,2011,workshop,University of North Texas
2,rada-mihalcea,unt.edu,C10-1004,C10-1,3,COLING,2010,conference,University of North Texas
2,rada-mihalcea,unt.edu,C10-2074,C10-2,3,COLING,2010,conference,University of North Texas
2,rada-mihalcea,unt.edu,C12-2108,C12-2,3,COLING,2012,conference,University of North Texas
2,rada-mihalcea,umich.edu,C16-1065,C16-1,3,COLING,2016,conference,University of Michigan
2,rada-mihalcea,umich.edu,C16-1233,C16-1,2,COLING,2016,conference,University of Michigan
2,rada-mihalcea,umich.edu,C18-1156,C18-1,6,COLING,2018,conference,University of Michigan
2,rada-mihalcea,umich.edu,C18-1287,C18-1,4,COLING,2018,conference,University of Michigan
2,rada-mihalcea,unt.edu,D10-1103,D10-1,3,EMNLP,2010,conference,University of North Texas
2,rada-mihalcea,unt.edu,D12-1054,D12-1,2,EMNLP,2012,conference,University of North Texas
2,rada-mihalcea,umich.edu,D15-1133,D15-1,2,EMNLP,2015,conference,University of Michigan
2,rada-mihalcea,umich.edu,D15-1281,D15-1,6,EMNLP,2015,conference,University of Michigan
2,rada-mihalcea,umich.edu,D15-1283,D15-1,3,EMNLP,2015,conference,University of Michigan
2,rada-mihalcea,umich.edu,D17-1242,D17-1,3,EMNLP,2017,conference,University of Michigan
2,rada-mihalcea,umich.edu,D18-1280,D18-1,5,EMNLP,2018,conference,University of Michigan
2,rada-mihalcea,umich.edu,D19-1122,D19-1,5,EMNLP,2019,conference,University of Michigan
2,rada-mihalcea,unt.edu,E14-1029,E14-1,3,EACL,2014,conference,University of North Texas
2,rada-mihalcea,umich.edu,E17-2022,E17-2,2,EACL,2017,conference,University of Michigan
2,rada-mihalcea,unt.edu,I11-1162,I11-1,2,IJCNLP,2011,conference,University of North Texas
2,rada-mihalcea,unt.edu,I13-1057,I13-1,3,IJCNLP,2013,conference,University of North Texas
2,rada-mihalcea,umich.edu,I17-1040,I17-1,3,IJCNLP,2017,conference,University of Michigan
2,rada-mihalcea,umich.edu,I17-1067,I17-1,2,IJCNLP,2017,conference,University of Michigan
2,rada-mihalcea,umich.edu,I17-1089,I17-1,5,IJCNLP,2017,conference,University of Michigan
2,rada-mihalcea,umich.edu,K19-1010,K19-1,4,CoNLL,2019,conference,University of Michigan
2,rada-mihalcea,unt.edu,N10-1133,N10-1,5,NAACL,2010,conference,University of North Texas
2,rada-mihalcea,umich.edu,N15-3024,N15-3,3,NAACL,2015,demonstration,University of Michigan
2,rada-mihalcea,umich.edu,N18-1190,N18-1,3,NAACL,2018,conference,University of Michigan
2,rada-mihalcea,umich.edu,N18-1200,N18-1,6,NAACL,2018,conference,University of Michigan
2,rada-mihalcea,umich.edu,N19-1175,N19-1,3,NAACL,2019,conference,University of Michigan
2,rada-mihalcea,unt.edu,P11-1076,P11-1,3,ACL,2011,conference,University of North Texas
2,rada-mihalcea,unt.edu,P11-4018,P11-4,2,ACL,2011,demonstration,University of North Texas
2,rada-mihalcea,unt.edu,P12-2051,P12-2,2,ACL,2012,conference,University of North Texas
2,rada-mihalcea,unt.edu,P13-1096,P13-1,3,ACL,2013,conference,University of North Texas
