,datetime,IP,startYear,endYear,num_uni,num_author,CL,TACL,ACL_C,NAACL_C,EMNLP_C,CoNLL_C,EACL_C,COLING,IJCNLP,WKSPDEMO
0,2020-02-12 16:00:58.993013,170.140.104.11,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
1,2020-02-12 16:02:34.607047,170.140.104.17,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
2,2020-02-12 16:02:34.743090,170.140.104.17,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
3,2020-02-12 16:03:40.037414,107.77.90.107,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
4,2020-02-12 16:04:20.028570,107.77.90.107,2010,2017,100,100,3,3,3,3,3,2,2,2,2,1
5,2020-02-12 16:09:23.275651,170.140.104.11,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
6,2020-02-12 16:10:23.330688,127.0.0.1,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
7,2020-02-12 16:10:24.268777,127.0.0.1,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
8,2020-02-12 16:25:12.324463,208.80.194.42,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
9,2020-02-12 16:35:24.032639,127.0.0.1,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
10,2020-02-12 16:49:01.201689,127.0.0.1,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
11,2020-02-12 16:49:18.915491,127.0.0.1,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
12,2020-02-12 16:51:59.078574,127.0.0.1,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
13,2020-02-12 16:52:16.711485,127.0.0.1,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
14,2020-02-12 16:59:03.214836,170.140.104.11,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
15,2020-02-12 17:52:03.030226,91.216.129.23,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
16,2020-02-12 17:53:17.640867,91.216.129.23,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
17,2020-02-12 17:53:32.762077,91.216.129.23,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
18,2020-02-12 17:54:46.536857,193.33.240.2,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
19,2020-02-12 17:56:51.963240,193.33.240.2,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
