University of Alaska	alaska.edu	Anchorage	AK
Alaska Christian College	alaskacc.edu	Soldotna	AK
National Park Community College	npcc.edu	Hot Springs National Park	AK
University of Alaska Fairbanks	uaf.edu	Fairbanks	AK
University of Arkansas - Fort Smith	uafs.edu	Fort Smith	AK
Alabama A&M University	aamu.edu	Huntville	AL
Athens State University	athens.edu	Athens	AL
Auburn University	auburn.edu	Auburn	AL
Auburn University at Montgomery	aum.edu	Montgomery	AL
Birmingham-Southern College	bsc.edu	Birmingham	AL
Calhoun Community College	calhoun.edu	Decatur	AL
Enterprise State Community College	escc.edu	Enterprise	AL
Faulkner State Community College	faulknerstate.edu	Bay Minette	AL
Gadsden State Community College	gadsdenstate.edu	Gadsden	AL
Huntingdon College	huntingdon.edu	Montgomery	AL
Jacksonville State University	jsu.edu	Jacksonville	AL
Lurleen B. Wallace Community College	lbwcc.edu	Andalusia	AL
University of Montevallo	montevallo.edu	Montevallo	AL
Northeast Alabama Community College	nacc.edu	Rainsville	AL
Northwest-Shoals Community College	nwscc.edu	Muscle Shoals	AL
Oakwood University	oakwood.edu	Huntsville	AL
Samford University	samford.edu	Birmingham	AL
Southeastern Bible College	sebc.edu	Birmingham	AL
University of South Alabama	southalabama.edu	Mobile	AL
Trenholm State Technical College	trenholmstate.edu	Montgomery	AL
Troy University	troy.edu	Troy	AL
Tuskegee University	tuskegee.edu	Tuskegee	AL
University of Alabama	ua.edu	Tuscaloosa	AL
University of Alabama at Birmingham	uab.edu	Birmingham	AL
University of Alabama in Huntsville	uah.edu	Huntsville	AL
University of North Alabama	una.edu	Florence	AL
Snead State Community College	snead.edu	Boaz	AL
Arkansas Northeastern College	anc.edu	Blytheville	AR
Arkansas State University	astate.edu	Jonesboro	AR
Arkansas Tech University	atu.edu	Russellville	AR
Central Baptist College	cbc.edu	Conway	AR
Harding University	harding.edu	Searcy	AR
Hendrix College	hendrix.edu	Conway	AR
Henderson State University	hsu.edu	Arkadelphia	AR
John Brown University	jbu.edu	Siloam Springs	AR
Lyon College	lyon.edu	Batesville	AR
Mid-South Community College	midsouthcc.edu	West Memphis	AR
North Arkansas College	northark.edu	Harrison	AR
Northwest Arkansas Community College	nwacc.edu	Bentonville	AR
Northwest Technical Institute	nwti.edu	Springdale	AR
Ouachita Baptist University	obu.edu	Arkadelphia	AR
University of the Ozarks	ozarks.edu	Clarksville	AR
Phillips Community College U of A	pccua.edu	Helena-West Helena	AR
Pulaski Technical College	pulaskitech.edu	North Little Rock	AR
Southern Arkansas University Magnolia	saumag.edu	Magnolia	AR
Southeast Arkansas College	seark.edu	Pine Bluff	AR
University of Arkansas Community College Batesville	uaccb.edu	Batesville	AR
University of Arkansas at Little Rock	ualr.edu	Little Rock	AR
University of Arkansas for Medical Sciences	uams.edu	Little Rock	AR
University of Arkansas at Pine Bluff	uapb.edu	Pine Bluff	AR
University of Arkansas	uark.edu	Fayetteville	AR
