University of Alaska	http://alaska.edu	Anchorage	AK
Alaska Christian College	http://alaskacc.edu	Soldotna	AK
National Park Community College	http://npcc.edu	Hot Springs National Park	AK
University of Alaska Fairbanks	http://uaf.edu	Fairbanks	AK
University of Arkansas - Fort Smith	http://uafs.edu	Fort Smith	AK
Alabama A&M University	http://aamu.edu	Huntville	AL
Athens State University	http://athens.edu	Athens	AL
Auburn University	http://auburn.edu	Auburn	AL
Auburn University at Montgomery	http://aum.edu	Montgomery	AL
Birmingham-Southern College	http://bsc.edu	Birmingham	AL
Calhoun Community College	http://calhoun.edu	Decatur	AL
Enterprise State Community College	http://escc.edu	Enterprise	AL
Faulkner State Community College	http://faulknerstate.edu	Bay Minette	AL
Gadsden State Community College	http://gadsdenstate.edu	Gadsden	AL
Huntingdon College	http://huntingdon.edu	Montgomery	AL
Jacksonville State University	http://jsu.edu	Jacksonville	AL
Lurleen B. Wallace Community College	http://lbwcc.edu	Andalusia	AL
University of Montevallo	http://montevallo.edu	Montevallo	AL
Northeast Alabama Community College	http://nacc.edu	Rainsville	AL
Northwest-Shoals Community College	http://nwscc.edu	Muscle Shoals	AL
Oakwood University	http://oakwood.edu	Huntsville	AL
Samford University	http://samford.edu	Birmingham	AL
Southeastern Bible College	http://sebc.edu	Birmingham	AL
University of South Alabama	http://southalabama.edu	Mobile	AL
Trenholm State Technical College	http://trenholmstate.edu	Montgomery	AL
Troy University	http://troy.edu	Troy	AL
Tuskegee University	http://tuskegee.edu	Tuskegee	AL
University of Alabama	http://ua.edu	Tuscaloosa	AL
University of Alabama at Birmingham	http://uab.edu	Birmingham	AL
University of Alabama in Huntsville	http://uah.edu	Huntsville	AL
University of North Alabama	http://una.edu	Florence	AL
Snead State Community College	http://snead.edu	Boaz	AL
Arkansas Northeastern College	http://anc.edu	Blytheville	AR
Arkansas State University	http://astate.edu	Jonesboro	AR
Arkansas Tech University	http://atu.edu	Russellville	AR
Central Baptist College	http://cbc.edu	Conway	AR
Harding University	http://harding.edu	Searcy	AR
Hendrix College	http://hendrix.edu	Conway	AR
Henderson State University	http://hsu.edu	Arkadelphia	AR
John Brown University	http://jbu.edu	Siloam Springs	AR
Lyon College	http://lyon.edu	Batesville	AR
Mid-South Community College	http://midsouthcc.edu	West Memphis	AR
North Arkansas College	http://northark.edu	Harrison	AR
Northwest Arkansas Community College	http://nwacc.edu	Bentonville	AR
Northwest Technical Institute	http://nwti.edu	Springdale	AR
Ouachita Baptist University	http://obu.edu	Arkadelphia	AR
University of the Ozarks	http://ozarks.edu	Clarksville	AR
Phillips Community College U of A	http://pccua.edu	Helena-West Helena	AR
Pulaski Technical College	http://pulaskitech.edu	North Little Rock	AR
Southern Arkansas University Magnolia	http://saumag.edu	Magnolia	AR
Southeast Arkansas College	http://seark.edu	Pine Bluff	AR
University of Arkansas Community College Batesville	http://uaccb.edu	Batesville	AR
University of Arkansas at Little Rock	http://ualr.edu	Little Rock	AR
University of Arkansas for Medical Sciences	http://uams.edu	Little Rock	AR
University of Arkansas at Pine Bluff	http://uapb.edu	Pine Bluff	AR
University of Arkansas	http://uark.edu	Fayetteville	AR
University of Central Arkansas	http://uca.edu	Conway	AR
Williams Baptist College	http://wbcoll.edu	Walnut Ridge	AR
University of Arizona	http://arizona.edu	Tucson	AZ
Arizona State University	http://asu.edu	Tempe	AZ
Arizona Western College	http://azwestern.edu	Yuma	AZ
Bryan University	http://bryanuniversity.edu	Tempe	AZ
Central Arizona College	http://centralaz.edu	Coolidge	AZ
Glendale Community College	http://gccaz.edu	Glendale	AZ
Grand Canyon University	http://gcu.edu	Phoenix	AZ
Maricopa Community Colleges	http://maricopa.edu	Phoenix	AZ
Mesa Community College	http://mesacc.edu	Mesa	AZ
Northern Arizona University	http://nau.edu	Flagstaff	AZ
Northland Pioneer College	http://npc.edu	(multiple locations)	AZ
University of Phoenix	http://phoenix.edu	Tempe	AZ
Phoenix College	http://phoenixcollege.edu	Phoenix	AZ
Pima Community College	http://pima.edu	Tucson	AZ
Prescott College	http://prescott.edu	Prescott	AZ
Rio Salado College	http://riosalado.edu	Tempe	AZ
South Mountain Community College	http://southmountaincc.edu	Pheonix	AZ
University of Advancing Technology	http://uat.edu	Tempe	AZ
Yavapai College	http://yc.edu	Prescott	AZ
Academy of Arts University	http://academyart.edu	San Francisco	CA
Adance Computing Institute	http://advancedcomputinginstitute.edu	Los Angeles	CA
Acupuncture & Integrative Medicine College	http://aimc.edu	Berkeley	CA
Alliant International University	http://alliant.edu	Alhambra	CA
Allied American University	http://allied.edu	Laguna Hills	CA
Anaheim University	http://anaheim.edu	Anaheim	CA
Angeles College	http://angelescollege.edu	Los Angeles	CA
Antioch University Los Angeles	http://antiochla.edu	Culver City	CA
Argosy University	http://argosy.edu	(multiple locations)	CA
Art Center College of Design	http://artcenter.edu	Pasadena	CA
The Art Institute	http://artinstitutes.edu	(multiple locations)	CA
Ashford University	http://ashford.edu	San Diego	CA
ATI College	http://ati.edu	Norwalk	CA
Antelope Valley College	http://avc.edu	Lancaster	CA
Bakersfield College	http://bakersfieldcollege.edu	Bakersfield	CA
Barstow Community College	http://barstow.edu	Barstow	CA
Berkeley University of California	http://berkeley.edu	Berkeley	CA
Berkeley City College	http://berkeleycitycollege.edu	Berkeley	CA
Brandman University	http://brandman.edu	Irvine	CA
Butte College	http://butte.edu	Oroville	CA
Cabrillo College	http://cabrillo.edu	Aptos	CA
California Institute of the Arts	http://calarts.edu	Valencie	CA
California Baptist University	http://calbaptist.edu	Riverside	CA
California Lutheran University	http://callutheran.edu	Thousand Oaks	CA
California Miramar University	http://calmu.edu	San Diego	CA
California Polytechnic State University	http://calpoly.edu	San Luis Obispo	CA
California State University	http://calstate.edu	Long Beach	CA
California Institute of Technology	http://caltech.edu	Pasadena	CA
Canada College	http://canadacollege.edu	Redwood City	CA
College of the Canyons	http://canyons.edu	Santa Clarita	CA
California College of the Arts	http://cca.edu	San Francisco	CA
